iter	Logloss
0	0.671054178
1	0.6510492926
2	0.6343793264
3	0.6164625742
4	0.6006893253
5	0.5857663374
6	0.5717003109
7	0.5605317631
8	0.5486511751
9	0.5379196306
10	0.5296718481
11	0.5207290345
12	0.5118510601
13	0.5044407832
14	0.4971486649
15	0.4907495747
16	0.4847738344
17	0.4799250266
18	0.4752981745
19	0.4708100507
20	0.4660340331
21	0.4621428803
22	0.4580844659
23	0.453994304
24	0.4510487354
25	0.4476976733
26	0.4451054953
27	0.4422119798
28	0.4399372453
29	0.4374385892
30	0.4345884017
31	0.432710116
32	0.4309850315
33	0.4286929886
34	0.4268409568
35	0.4251149588
36	0.4238119146
37	0.4222957128
38	0.4206099439
39	0.4192840136
40	0.418005561
41	0.4168725064
42	0.4155458311
43	0.4147553887
44	0.4137424963
45	0.4125800379
46	0.4114895765
47	0.4104682976
48	0.4097504657
49	0.4089207327
50	0.408301757
51	0.4075515976
52	0.4070940658
53	0.4066158506
54	0.4059151949
55	0.4055811801
56	0.4049462414
57	0.4045056426
58	0.4040149636
59	0.4036060025
60	0.4031379047
61	0.4027155088
62	0.4021636439
63	0.4016661782
64	0.4014234705
65	0.4012515843
66	0.4010411664
67	0.4007386987
68	0.400361997
69	0.4001375726
70	0.3999066516
71	0.3994649102
72	0.399230102
73	0.3989770432
74	0.39867418
75	0.3984112758
76	0.3981287186
77	0.3978830718
78	0.3975832185
79	0.3973556339
80	0.3971335107
81	0.3969173395
82	0.3967624665
83	0.3965172244
84	0.3963891902
85	0.3962278519
86	0.3958910151
87	0.3956416837
88	0.3955449143
89	0.3953818588
90	0.3952760765
91	0.3951532796
92	0.3950392682
93	0.3948563411
94	0.3947206749
95	0.3945158209
96	0.3943495297
97	0.3942215727
98	0.394120426
99	0.3939718942
100	0.3938363523
101	0.3936644879
102	0.3935149955
103	0.3933779168
104	0.3932527137
105	0.3931778596
106	0.3930224082
107	0.3928770769
108	0.3927443231
109	0.3926392169
110	0.3924888241
111	0.3923432544
112	0.3922396119
113	0.3921447445
114	0.3920562812
115	0.3918905762
116	0.3917561095
117	0.3915834124
118	0.3914916508
119	0.3913580143
120	0.3912263385
121	0.3911085934
122	0.3910177041
123	0.3908570675
124	0.3907065395
125	0.3906267479
126	0.3904430121
127	0.3903318188
128	0.3902347856
129	0.3901621326
130	0.3901022641
131	0.3900311179
132	0.389963135
133	0.3898937971
134	0.389798996
135	0.3896872073
136	0.3896316591
137	0.3894393724
138	0.3893413593
139	0.3892619587
140	0.3891996229
141	0.3890847857
142	0.3889883181
143	0.3889371231
144	0.388762401
145	0.3886648998
146	0.3885193526
147	0.3884555831
148	0.3883624436
149	0.388275717
150	0.3881879623
151	0.3881104805
152	0.388037438
153	0.3879506337
154	0.3878873013
155	0.3878225431
156	0.3877608185
157	0.3876529484
158	0.3875738835
159	0.3874556068
160	0.387371894
161	0.3873128285
162	0.387246772
163	0.3871809966
164	0.3871369644
165	0.3870576059
166	0.3869281255
167	0.3868567372
168	0.3867539631
169	0.3866973761
170	0.3865901291
171	0.3864554438
172	0.3863429795
173	0.3862581885
174	0.3862021741
175	0.3861004028
176	0.3860426512
177	0.385975562
178	0.3858771673
179	0.3857760403
180	0.3857033004
181	0.38563234
182	0.3855720647
183	0.385474871
184	0.385415424
185	0.3853547286
186	0.3852626589
187	0.3851939777
188	0.3851418244
189	0.3850711734
190	0.3850189619
191	0.3849440241
192	0.3848547188
193	0.3847498529
194	0.3846805041
195	0.3845789621
196	0.384510085
197	0.3844253895
198	0.3843109492
199	0.3842163276
200	0.3841362964
201	0.3840490479
202	0.3839846412
203	0.3838787516
204	0.3838165679
205	0.3836971289
206	0.3836200252
207	0.3835742155
208	0.3835219335
209	0.3834136833
210	0.3833286562
211	0.3832380995
212	0.3831315492
213	0.383055013
214	0.3829606818
215	0.3828601295
216	0.3827710617
