iter	Passed	Remaining
0	127	152733
1	203	121776
2	294	117376
3	384	114890
4	485	116089
5	590	117545
6	669	114144
7	738	110002
8	833	110324
9	919	109385
10	1023	110663
11	1142	113107
12	1240	113298
13	1325	112270
14	1451	114688
15	1576	116634
16	1677	116741
17	1761	115660
18	1838	114265
19	1917	113150
20	2012	112966
21	2108	112890
22	2194	112283
23	2273	111393
24	2338	109891
25	2406	108647
26	2467	107217
27	2545	106548
28	2615	105599
29	2681	104582
30	2749	103694
31	2825	103142
32	2914	103082
33	3006	103119
34	3086	102728
35	3161	102209
36	3238	101796
37	3321	101558
38	3395	101074
39	3476	100808
40	3570	100929
41	3688	101697
42	3784	101831
43	3859	101408
44	3939	101118
45	4022	100903
46	4100	100601
47	4179	100306
48	4260	100067
49	4330	99595
50	4396	99056
51	4483	98979
52	4545	98381
53	4608	97796
54	4699	97824
55	4770	97451
56	4856	97378
57	4935	97178
58	5008	96860
59	5068	96298
60	5149	96160
61	5211	95651
62	5283	95360
63	5342	94833
64	5404	94373
65	5459	93809
66	5536	93619
67	5605	93320
68	5665	92860
69	5733	92560
70	5799	92213
71	5870	91966
72	5941	91732
73	6014	91524
74	6082	91235
75	6145	90885
76	6206	90520
77	6272	90228
78	6337	89923
79	6408	89720
80	6471	89402
81	6533	89083
82	6601	88837
83	6662	88514
84	6725	88223
85	6782	87854
86	6844	87558
87	6913	87364
88	6975	87076
89	7032	86735
90	7102	86556
91	7175	86413
92	7237	86147
93	7314	86067
94	7376	85795
95	7447	85650
96	7519	85503
97	7582	85268
98	7658	85174
99	7721	84933
100	7789	84762
101	7861	84630
102	7923	84383
103	7984	84141
104	8039	83844
105	8108	83686
106	8189	83657
107	8254	83464
108	8338	83459
109	8397	83208
110	8464	83042
111	8518	82747
112	8593	82665
113	8667	82564
114	8731	82380
115	8798	82223
116	8858	81995
117	8923	81822
118	8986	81633
119	9072	81648
120	9143	81532
121	9210	81387
122	9284	81293
123	9370	81312
124	9435	81145
125	9509	81053
126	9605	81156
127	9681	81081
128	9760	81033
129	9829	80902
130	9908	80855
131	9995	80871
132	10086	80920
133	10165	80866
134	10239	80776
135	10303	80609
136	10371	80477
137	10454	80450
138	10548	80515
139	10618	80395
140	10716	80484
141	10797	80446
142	10885	80460
143	10975	80486
144	11049	80397
145	11129	80348
146	11225	80411
147	11325	80505
148	11434	80658
149	11535	80745
150	11619	80718
151	11691	80607
152	11761	80485
153	11822	80301
154	11892	80180
155	11956	80013
156	12028	79907
157	12093	79757
158	12168	79671
159	12253	79649
160	12316	79484
161	12382	79338
162	12454	79232
163	12532	79170
164	12605	79069
165	12692	79063
166	12772	79006
167	12848	78929
168	12933	78903
169	13029	78941
170	13125	78981
171	13223	79032
172	13311	79022
173	13382	78913
174	13462	78851
175	13534	78745
176	13614	78686
177	13696	78639
178	13774	78570
179	13852	78494
180	13947	78521
181	14037	78519
182	14128	78514
183	14198	78399
184	14268	78282
185	14322	78078
186	14390	77956
187	14451	77793
188	14509	77615
189	14565	77429
190	14624	77255
191	14683	77089
192	14736	76890
193	14796	76727
194	14893	76760
195	14952	76592
196	15044	76596
197	15114	76489
198	15172	76317
199	15249	76248
200	15330	76194
201	15402	76095
202	15459	75925
203	15519	75771
204	15579	75615
205	15630	75421
206	15691	75271
207	15748	75106
208	15802	74931
209	15866	74798
210	15946	74745
